data_fim,trimestre,cd_conta,ds_conta,valor_mil
2023-09-30,T3,1.02.01.10.05,Outros créditos,57217.0
2023-09-30,T3,1.02.01.10.06,Operações com derivativos,0.0
2023-09-30,T3,1.02.02,Investimentos,78503.0
2023-09-30,T3,1.02.02.01,Participações Societárias,78503.0
2023-09-30,T3,1.02.02.01.01,Participações em Coligadas,0.0
2023-09-30,T3,1.02.02.01.04,Participações em Controladas em Conjunto,78503.0
2023-09-30,T3,1.02.02.01.05,Outros Investimentos,0.0
2023-09-30,T3,1.02.02.02,Propriedades para Investimento,0.0
2023-09-30,T3,1.02.03,Imobilizado,955700.0
2023-09-30,T3,1.02.03.01,Imobilizado em Operação,955700.0
2023-09-30,T3,1.02.03.02,Direito de Uso em Arrendamento,0.0
2023-09-30,T3,1.02.03.03,Imobilizado em Andamento,0.0
2023-09-30,T3,1.02.04,Intangível,2038810.0
2023-09-30,T3,1.02.04.01,Intangíveis,2038810.0
2023-09-30,T3,1.02.04.01.01,Contrato de Concessão,0.0
2023-09-30,T3,1.02.04.01.02,Direito de Uso em Arrendamento,1837999.0
2023-09-30,T3,1.02.04.01.03,Intangíveis,200811.0
2023-09-30,T3,1.02.04.02,Goodwill,0.0
2023-12-31,T4,1,Ativo Total,8988598.0
2023-12-31,T4,1.01,Ativo Circulante,4493557.0
2023-12-31,T4,1.01.01,Caixa e Equivalentes de Caixa,438500.0
2023-12-31,T4,1.01.02,Aplicações Financeiras,4808.0
2023-12-31,T4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo através do Resultado,0.0
2023-12-31,T4,1.01.02.01.01,Títulos para Negociação,0.0
2023-12-31,T4,1.01.02.01.02,Títulos Designados a Valor Justo,0.0
2023-12-31,T4,1.01.02.02,Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes,0.0
2023-12-31,T4,1.01.02.03,Aplicações Financeiras Avaliadas ao Custo Amortizado,4808.0
2023-12-31,T4,1.01.03,Contas a Receber,780978.0
2023-12-31,T4,1.01.03.01,Clientes,513574.0
2023-12-31,T4,1.01.03.01.01,Contas a Receber de Clientes - Cartões de Créditos,476321.0
2023-12-31,T4,1.01.03.01.02,Convenios a Receber,39403.0
2023-12-31,T4,1.01.03.01.03,Comissoes a Receber,2112.0
2023-12-31,T4,1.01.03.01.04,Programa de Beneficios de Medicamentos - PBM,0.0
2023-12-31,T4,1.01.03.01.05,Provisão para Créditos de Liquidação Duvidosa,-1395.0
2023-12-31,T4,1.01.03.01.06,Ajuste a Valor Presente,-3700.0
2023-12-31,T4,1.01.03.01.07,Contas a Receber Intercompany,0.0
2023-12-31,T4,1.01.03.01.08,Contas a receber - atacado,833.0
2023-12-31,T4,1.01.03.02,Outras Contas a Receber,267404.0
2023-12-31,T4,1.01.03.02.01,Acordos Comerciais,213505.0
2023-12-31,T4,1.01.03.02.02,Despesas antecipadas,9630.0
2023-12-31,T4,1.01.03.02.03,Outras,44269.0
2023-12-31,T4,1.01.04,Estoques,3029712.0
2023-12-31,T4,1.01.05,Ativos Biológicos,0.0
2023-12-31,T4,1.01.06,Tributos a Recuperar,239559.0
2023-12-31,T4,1.01.06.01,Tributos Correntes a Recuperar,239559.0
2023-12-31,T4,1.01.07,Despesas Antecipadas,0.0
2023-12-31,T4,1.01.08,Outros Ativos Circulantes,0.0
2023-12-31,T4,1.01.08.01,Ativos Não-Correntes a Venda,0.0
2023-12-31,T4,1.01.08.02,Ativos de Operações Descontinuadas,0.0
2023-12-31,T4,1.01.08.03,Outros,0.0
2023-12-31,T4,1.01.08.03.01,Operações com Derivativos,0.0
2023-12-31,T4,1.02,Ativo Não Circulante,4495041.0
2023-12-31,T4,1.02.01,Ativo Realizável a Longo Prazo,1358923.0
2023-12-31,T4,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo através do Resultado,0.0
2023-12-31,T4,1.02.01.01.01,Títulos Designados a Valor Justo,0.0
2023-12-31,T4,1.02.01.02,Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes,0.0
2023-12-31,T4,1.02.01.03,Aplicações Financeiras Avaliadas ao Custo Amortizado,777.0
2023-12-31,T4,1.02.01.04,Contas a Receber,0.0
2023-12-31,T4,1.02.01.04.01,Clientes,0.0
2023-12-31,T4,1.02.01.04.02,Outras Contas a Receber,0.0
2023-12-31,T4,1.02.01.05,Estoques,0.0
2023-12-31,T4,1.02.01.06,Ativos Biológicos,0.0
2023-12-31,T4,1.02.01.07,Tributos Diferidos,522318.0
2023-12-31,T4,1.02.01.07.01,Imposto de Renda e Contribuição Social Diferidos,522318.0
2023-12-31,T4,1.02.01.08,Despesas Antecipadas,0.0
2023-12-31,T4,1.02.01.09,Créditos com Partes Relacionadas,0.0
2023-12-31,T4,1.02.01.09.01,Créditos com Coligadas,0.0
2023-12-31,T4,1.02.01.09.03,Créditos com Controladores,0.0
2023-12-31,T4,1.02.01.09.04,Créditos com Outras Partes Relacionadas,0.0
2023-12-31,T4,1.02.01.10,Outros Ativos Não Circulantes,835828.0
2023-12-31,T4,1.02.01.10.01,Ativos Não-Correntes a Venda,0.0
2023-12-31,T4,1.02.01.10.02,Ativos de Operações Descontinuadas,57217.0
2023-12-31,T4,1.02.01.10.03,Impostos e Contribuições a Recuperar,748573.0
2023-12-31,T4,1.02.01.10.04,Depósitos Judiciais,30038.0
2023-12-31,T4,1.02.01.10.05,Outros créditos,0.0
2023-12-31,T4,1.02.01.10.06,Operações com derivativos,0.0
2023-12-31,T4,1.02.02,Investimentos,79995.0
2023-12-31,T4,1.02.02.01,Participações Societárias,79995.0
2023-12-31,T4,1.02.02.01.01,Participações em Coligadas,0.0
2023-12-31,T4,1.02.02.01.04,Participações em Controladas em Conjunto,79995.0
2023-12-31,T4,1.02.02.01.05,Outros Investimentos,0.0
2023-12-31,T4,1.02.02.02,Propriedades para Investimento,0.0
2023-12-31,T4,1.02.03,Imobilizado,949597.0
2023-12-31,T4,1.02.03.01,Imobilizado em Operação,949597.0
2023-12-31,T4,1.02.03.02,Direito de Uso em Arrendamento,0.0
2023-12-31,T4,1.02.03.03,Imobilizado em Andamento,0.0
2023-12-31,T4,1.02.04,Intangível,2106526.0
2023-12-31,T4,1.02.04.01,Intangíveis,2106526.0
2023-12-31,T4,1.02.04.01.01,Contrato de Concessão,0.0
2023-12-31,T4,1.02.04.01.02,Direito de Uso em Arrendamento,1912038.0
2023-12-31,T4,1.02.04.01.03,Intangíveis,194488.0
2023-12-31,T4,1.02.04.02,Goodwill,0.0
2024-03-31,T1,1,Ativo Total,8767730.0
2024-03-31,T1,1.01,Ativo Circulante,4272454.0
2024-03-31,T1,1.01.01,Caixa e Equivalentes de Caixa,232516.0
2024-03-31,T1,1.01.02,Aplicações Financeiras,0.0
2024-03-31,T1,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo através do Resultado,0.0
2024-03-31,T1,1.01.02.01.01,Títulos para Negociação,0.0
2024-03-31,T1,1.01.02.01.02,Títulos Designados a Valor Justo,0.0
2024-03-31,T1,1.01.02.02,Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes,0.0
2024-03-31,T1,1.01.02.03,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2024-03-31,T1,1.01.03,Contas a Receber,882543.0
2024-03-31,T1,1.01.03.01,Clientes,624309.0
2024-03-31,T1,1.01.03.01.01,Contas a Receber de Clientes - Cartões de Créditos,565102.0
2024-03-31,T1,1.01.03.01.02,Convenios a Receber,62254.0
2024-03-31,T1,1.01.03.01.03,Comissoes a Receber,3663.0
2024-03-31,T1,1.01.03.01.04,Programa de Beneficios de Medicamentos - PBM,0.0
2024-03-31,T1,1.01.03.01.05,Provisão para Créditos de Liquidação Duvidosa,-1878.0
2024-03-31,T1,1.01.03.01.06,Ajuste a Valor Presente,-4832.0
2024-03-31,T1,1.01.03.01.07,Contas a Receber Intercompany,0.0
2024-03-31,T1,1.01.03.01.08,Contas a receber - atacado,0.0
2024-03-31,T1,1.01.03.02,Outras Contas a Receber,258234.0
2024-03-31,T1,1.01.03.02.01,Acordos Comerciais,182879.0
2024-03-31,T1,1.01.03.02.02,Despesas antecipadas,29328.0
2024-03-31,T1,1.01.03.02.03,Outras,46027.0
2024-03-31,T1,1.01.04,Estoques,2886881.0
2024-03-31,T1,1.01.05,Ativos Biológicos,0.0
2024-03-31,T1,1.01.06,Tributos a Recuperar,270514.0
2024-03-31,T1,1.01.06.01,Tributos Correntes a Recuperar,270514.0
2024-03-31,T1,1.01.07,Despesas Antecipadas,0.0
2024-03-31,T1,1.01.08,Outros Ativos Circulantes,0.0
2024-03-31,T1,1.01.08.01,Ativos Não-Correntes a Venda,0.0
2024-03-31,T1,1.01.08.02,Ativos de Operações Descontinuadas,0.0
2024-03-31,T1,1.01.08.03,Outros,0.0
2024-03-31,T1,1.01.08.03.01,Operações com Derivativos,0.0
2024-03-31,T1,1.02,Ativo Não Circulante,4495276.0
2024-03-31,T1,1.02.01,Ativo Realizável a Longo Prazo,1388571.0
2024-03-31,T1,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo através do Resultado,0.0
2024-03-31,T1,1.02.01.01.01,Títulos Designados a Valor Justo,0.0
2024-03-31,T1,1.02.01.02,Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes,0.0
2024-03-31,T1,1.02.01.03,Aplicações Financeiras Avaliadas ao Custo Amortizado,793.0
2024-03-31,T1,1.02.01.04,Contas a Receber,0.0
2024-03-31,T1,1.02.01.04.01,Clientes,0.0
2024-03-31,T1,1.02.01.04.02,Outras Contas a Receber,0.0
2024-03-31,T1,1.02.01.05,Estoques,0.0
2024-03-31,T1,1.02.01.06,Ativos Biológicos,0.0
2024-03-31,T1,1.02.01.07,Tributos Diferidos,556847.0
2024-03-31,T1,1.02.01.07.01,Imposto de Renda e Contribuição Social Diferidos,556847.0
2024-03-31,T1,1.02.01.08,Despesas Antecipadas,0.0
2024-03-31,T1,1.02.01.09,Créditos com Partes Relacionadas,0.0
2024-03-31,T1,1.02.01.09.01,Créditos com Coligadas,0.0
2024-03-31,T1,1.02.01.09.03,Créditos com Controladores,0.0
2024-03-31,T1,1.02.01.09.04,Créditos com Outras Partes Relacionadas,0.0
2024-03-31,T1,1.02.01.10,Outros Ativos Não Circulantes,830931.0
2024-03-31,T1,1.02.01.10.01,Ativos Não-Correntes a Venda,0.0
2024-03-31,T1,1.02.01.10.02,Ativos de Operações Descontinuadas,55695.0
2024-03-31,T1,1.02.01.10.03,Impostos e Contribuições a Recuperar,746299.0
2024-03-31,T1,1.02.01.10.04,Depósitos Judiciais,28937.0
2024-03-31,T1,1.02.01.10.05,Outros créditos,0.0
2024-03-31,T1,1.02.01.10.06,Operações com derivativos,0.0
2024-03-31,T1,1.02.02,Investimentos,78952.0
2024-03-31,T1,1.02.02.01,Participações Societárias,78952.0
2024-03-31,T1,1.02.02.01.01,Participações em Coligadas,0.0
2024-03-31,T1,1.02.02.01.04,Participações em Controladas em Conjunto,78952.0
2024-03-31,T1,1.02.02.01.05,Outros Investimentos,0.0
2024-03-31,T1,1.02.02.02,Propriedades para Investimento,0.0
2024-03-31,T1,1.02.03,Imobilizado,920848.0
2024-03-31,T1,1.02.03.01,Imobilizado em Operação,920848.0
2024-03-31,T1,1.02.03.02,Direito de Uso em Arrendamento,0.0
2024-03-31,T1,1.02.03.03,Imobilizado em Andamento,0.0
2024-03-31,T1,1.02.04,Intangível,2106905.0
2024-03-31,T1,1.02.04.01,Intangíveis,2106905.0
2024-03-31,T1,1.02.04.01.01,Contrato de Concessão,0.0
2024-03-31,T1,1.02.04.01.02,Direito de Uso em Arrendamento,1920193.0
2024-03-31,T1,1.02.04.01.03,Intangíveis,186712.0
2024-03-31,T1,1.02.04.02,Goodwill,0.0
2024-06-30,T2,1,Ativo Total,8583604.0
2024-06-30,T2,1.01,Ativo Circulante,4191468.0
2024-06-30,T2,1.01.01,Caixa e Equivalentes de Caixa,108208.0
2024-06-30,T2,1.01.02,Aplicações Financeiras,0.0
2024-06-30,T2,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo através do Resultado,0.0
2024-06-30,T2,1.01.02.01.01,Títulos para Negociação,0.0
2024-06-30,T2,1.01.02.01.02,Títulos Designados a Valor Justo,0.0
2024-06-30,T2,1.01.02.02,Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes,0.0
2024-06-30,T2,1.01.02.03,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2024-06-30,T2,1.01.03,Contas a Receber,1052702.0
2024-06-30,T2,1.01.03.01,Clientes,792580.0
2024-06-30,T2,1.01.03.01.01,Contas a Receber de Clientes - Cartões de Créditos,733347.0
2024-06-30,T2,1.01.03.01.02,Convenios a Receber,67208.0
2024-06-30,T2,1.01.03.01.03,Comissoes a Receber,3795.0
2024-06-30,T2,1.01.03.01.04,Programa de Beneficios de Medicamentos - PBM,0.0
2024-06-30,T2,1.01.03.01.05,Provisão para Créditos de Liquidação Duvidosa,-2010.0
2024-06-30,T2,1.01.03.01.06,Ajuste a Valor Presente,-9760.0
2024-06-30,T2,1.01.03.01.08,Contas a receber - atacado,0.0
2024-06-30,T2,1.01.03.02,Outras Contas a Receber,260122.0
2024-06-30,T2,1.01.03.02.01,Acordos Comerciais,187390.0
2024-06-30,T2,1.01.03.02.02,Despesas antecipadas,25615.0
2024-06-30,T2,1.01.03.02.03,Outras,47117.0
2024-06-30,T2,1.01.04,Estoques,2798282.0
2024-06-30,T2,1.01.05,Ativos Biológicos,0.0
2024-06-30,T2,1.01.06,Tributos a Recuperar,232276.0
2024-06-30,T2,1.01.06.01,Tributos Correntes a Recuperar,232276.0
2024-06-30,T2,1.01.07,Despesas Antecipadas,0.0
2024-06-30,T2,1.01.08,Outros Ativos Circulantes,0.0
2024-06-30,T2,1.01.08.01,Ativos Não-Correntes a Venda,0.0
2024-06-30,T2,1.01.08.02,Ativos de Operações Descontinuadas,0.0
2024-06-30,T2,1.01.08.03,Outros,0.0
2024-06-30,T2,1.01.08.03.01,Operações com Derivativos,0.0
2024-06-30,T2,1.02,Ativo Não Circulante,4392136.0
2024-06-30,T2,1.02.01,Ativo Realizável a Longo Prazo,1373103.0
2024-06-30,T2,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo através do Resultado,0.0
2024-06-30,T2,1.02.01.01.01,Títulos Designados a Valor Justo,0.0
2024-06-30,T2,1.02.01.02,Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes,0.0
2024-06-30,T2,1.02.01.03,Aplicações Financeiras Avaliadas ao Custo Amortizado,809.0
2024-06-30,T2,1.02.01.04,Contas a Receber,0.0
2024-06-30,T2,1.02.01.04.01,Clientes,0.0
2024-06-30,T2,1.02.01.04.02,Outras Contas a Receber,0.0
2024-06-30,T2,1.02.01.05,Estoques,0.0
2024-06-30,T2,1.02.01.06,Ativos Biológicos,0.0
2024-06-30,T2,1.02.01.07,Tributos Diferidos,564350.0
2024-06-30,T2,1.02.01.07.01,Imposto de Renda e Contribuição Social Diferidos,564350.0
2024-06-30,T2,1.02.01.08,Despesas Antecipadas,0.0
2024-06-30,T2,1.02.01.09,Créditos com Partes Relacionadas,0.0
2024-06-30,T2,1.02.01.09.01,Créditos com Coligadas,0.0
2024-06-30,T2,1.02.01.09.03,Créditos com Controladores,0.0
2024-06-30,T2,1.02.01.09.04,Créditos com Outras Partes Relacionadas,0.0
2024-06-30,T2,1.02.01.10,Outros Ativos Não Circulantes,807944.0
2024-06-30,T2,1.02.01.10.01,Ativos Não-Correntes a Venda,0.0
2024-06-30,T2,1.02.01.10.02,Ativos de Operações Descontinuadas,36424.0
2024-06-30,T2,1.02.01.10.03,Impostos e Contribuições a Recuperar,742680.0
2024-06-30,T2,1.02.01.10.04,Depósitos Judiciais,28840.0
2024-06-30,T2,1.02.01.10.05,Outros créditos,0.0
2024-06-30,T2,1.02.01.10.06,Operações com derivativos,0.0
2024-06-30,T2,1.02.02,Investimentos,80446.0
2024-06-30,T2,1.02.02.01,Participações Societárias,80446.0
2024-06-30,T2,1.02.02.01.01,Participações em Coligadas,0.0
2024-06-30,T2,1.02.02.01.04,Participações em Controladas em Conjunto,80446.0
2024-06-30,T2,1.02.02.01.05,Outros Investimentos,0.0
2024-06-30,T2,1.02.02.02,Propriedades para Investimento,0.0
2024-06-30,T2,1.02.03,Imobilizado,914363.0
2024-06-30,T2,1.02.03.01,Imobilizado em Operação,910198.0
2024-06-30,T2,1.02.03.02,Direito de Uso em Arrendamento,4165.0
2024-06-30,T2,1.02.03.03,Imobilizado em Andamento,0.0
2024-06-30,T2,1.02.04,Intangível,2024224.0
2024-06-30,T2,1.02.04.01,Intangíveis,2024224.0
2024-06-30,T2,1.02.04.01.01,Contrato de Concessão,0.0
2024-06-30,T2,1.02.04.01.02,Direito de Uso em Arrendamento,1845356.0
2024-06-30,T2,1.02.04.01.03,Intangíveis,178868.0
2024-06-30,T2,1.02.04.02,Goodwill,0.0
2024-09-30,T3,1,Ativo Total,8642359.0
2024-09-30,T3,1.01,Ativo Circulante,4301824.0
2024-09-30,T3,1.01.01,Caixa e Equivalentes de Caixa,169595.0
2024-09-30,T3,1.01.02,Aplicações Financeiras,0.0
2024-09-30,T3,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo através do Resultado,0.0
2024-09-30,T3,1.01.02.01.01,Títulos para Negociação,0.0
2024-09-30,T3,1.01.02.01.02,Títulos Designados a Valor Justo,0.0
2024-09-30,T3,1.01.02.02,Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes,0.0
2024-09-30,T3,1.01.02.03,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2024-09-30,T3,1.01.03,Contas a Receber,1004292.0
2024-09-30,T3,1.01.03.01,Clientes,745069.0
2024-09-30,T3,1.01.03.01.01,Contas a Receber de Clientes - Cartões de Créditos,670559.0
2024-09-30,T3,1.01.03.01.02,Convenios a Receber,79693.0
2024-09-30,T3,1.01.03.01.03,Comissoes a Receber,6640.0
2024-09-30,T3,1.01.03.01.04,Programa de Beneficios de Medicamentos - PBM,0.0
2024-09-30,T3,1.01.03.01.05,Provisão para Créditos de Liquidação Duvidosa,-2353.0
2024-09-30,T3,1.01.03.01.06,Ajuste a Valor Presente,-9470.0
2024-09-30,T3,1.01.03.01.07,Contas a Receber Intercompany,0.0
2024-09-30,T3,1.01.03.01.08,Contas a receber - atacado,0.0
2024-09-30,T3,1.01.03.02,Outras Contas a Receber,259223.0
2024-09-30,T3,1.01.03.02.01,Acordos Comerciais,200727.0
2024-09-30,T3,1.01.03.02.02,Despesas antecipadas,18475.0
2024-09-30,T3,1.01.03.02.03,Outras,40021.0
2024-09-30,T3,1.01.04,Estoques,2973059.0
2024-09-30,T3,1.01.05,Ativos Biológicos,0.0
2024-09-30,T3,1.01.06,Tributos a Recuperar,154878.0
2024-09-30,T3,1.01.06.01,Tributos Correntes a Recuperar,154878.0
2024-09-30,T3,1.01.07,Despesas Antecipadas,0.0
2024-09-30,T3,1.01.08,Outros Ativos Circulantes,0.0
2024-09-30,T3,1.01.08.01,Ativos Não-Correntes a Venda,0.0
2024-09-30,T3,1.01.08.02,Ativos de Operações Descontinuadas,0.0
2024-09-30,T3,1.01.08.03,Outros,0.0
2024-09-30,T3,1.01.08.03.01,Operações com Derivativos,0.0
2024-09-30,T3,1.02,Ativo Não Circulante,4340535.0
2024-09-30,T3,1.02.01,Ativo Realizável a Longo Prazo,1386414.0
2024-09-30,T3,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo através do Resultado,0.0
2024-09-30,T3,1.02.01.01.01,Títulos Designados a Valor Justo,0.0
2024-09-30,T3,1.02.01.02,Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes,0.0
2024-09-30,T3,1.02.01.03,Aplicações Financeiras Avaliadas ao Custo Amortizado,1677.0
2024-09-30,T3,1.02.01.04,Contas a Receber,0.0
2024-09-30,T3,1.02.01.04.01,Clientes,0.0
2024-09-30,T3,1.02.01.04.02,Outras Contas a Receber,0.0
2024-09-30,T3,1.02.01.05,Estoques,0.0
2024-09-30,T3,1.02.01.06,Ativos Biológicos,0.0
2024-09-30,T3,1.02.01.07,Tributos Diferidos,565021.0
2024-09-30,T3,1.02.01.07.01,Imposto de Renda e Contribuição Social Diferidos,565021.0
2024-09-30,T3,1.02.01.08,Despesas Antecipadas,0.0
2024-09-30,T3,1.02.01.09,Créditos com Partes Relacionadas,0.0
2024-09-30,T3,1.02.01.09.01,Créditos com Coligadas,0.0
2024-09-30,T3,1.02.01.09.03,Créditos com Controladores,0.0
2024-09-30,T3,1.02.01.09.04,Créditos com Outras Partes Relacionadas,0.0
2024-09-30,T3,1.02.01.10,Outros Ativos Não Circulantes,819716.0
2024-09-30,T3,1.02.01.10.01,Ativos Não-Correntes a Venda,0.0
2024-09-30,T3,1.02.01.10.02,Ativos de Operações Descontinuadas,36364.0
2024-09-30,T3,1.02.01.10.03,Impostos e Contribuições a Recuperar,754258.0
2024-09-30,T3,1.02.01.10.04,Depósitos Judiciais,29094.0
2024-09-30,T3,1.02.01.10.05,Outros créditos,0.0
2024-09-30,T3,1.02.01.10.06,Operações com derivativos,0.0
2024-09-30,T3,1.02.02,Investimentos,78200.0
2024-09-30,T3,1.02.02.01,Participações Societárias,78200.0
2024-09-30,T3,1.02.02.01.01,Participações em Coligadas,0.0
2024-09-30,T3,1.02.02.01.04,Participações em Controladas em Conjunto,78200.0
2024-09-30,T3,1.02.02.01.05,Outros Investimentos,0.0
2024-09-30,T3,1.02.02.02,Propriedades para Investimento,0.0
2024-09-30,T3,1.02.03,Imobilizado,886500.0
2024-09-30,T3,1.02.03.01,Imobilizado em Operação,886500.0
2024-09-30,T3,1.02.03.02,Direito de Uso em Arrendamento,0.0
2024-09-30,T3,1.02.03.03,Imobilizado em Andamento,0.0
2024-09-30,T3,1.02.04,Intangível,1989421.0
2024-09-30,T3,1.02.04.01,Intangíveis,1989421.0
2024-09-30,T3,1.02.04.01.01,Contrato de Concessão,0.0
2024-09-30,T3,1.02.04.01.02,Direito de Uso em Arrendamento,1815448.0
2024-09-30,T3,1.02.04.01.03,Intangíveis,173973.0
2024-09-30,T3,1.02.04.02,Goodwill,0.0
2024-12-31,T4,1,Ativo Total,8983695.0
2024-12-31,T4,1.01,Ativo Circulante,4614664.0
2024-12-31,T4,1.01.01,Caixa e Equivalentes de Caixa,149126.0
2024-12-31,T4,1.01.02,Aplicações Financeiras,260.0
2024-12-31,T4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo através do Resultado,0.0
2024-12-31,T4,1.01.02.01.01,Títulos para Negociação,0.0
2024-12-31,T4,1.01.02.01.02,Títulos Designados a Valor Justo,0.0
2024-12-31,T4,1.01.02.02,Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes,0.0
2024-12-31,T4,1.01.02.03,Aplicações Financeiras Avaliadas ao Custo Amortizado,260.0
2024-12-31,T4,1.01.03,Contas a Receber,842102.0
2024-12-31,T4,1.01.03.01,Clientes,577814.0
2024-12-31,T4,1.01.03.01.01,Contas a Receber de Clientes - Cartões de Créditos,518796.0
2024-12-31,T4,1.01.03.01.02,Convenios a Receber,58719.0
2024-12-31,T4,1.01.03.01.03,Comissoes a Receber,5724.0
2024-12-31,T4,1.01.03.01.04,Programa de Beneficios de Medicamentos - PBM,0.0
2024-12-31,T4,1.01.03.01.05,Provisão para Créditos de Liquidação Duvidosa,-402.0
2024-12-31,T4,1.01.03.01.06,Ajuste a Valor Presente,-5023.0
2024-12-31,T4,1.01.03.01.07,Contas a Receber Intercompany,0.0
2024-12-31,T4,1.01.03.01.08,Contas a receber - atacado,0.0
2024-12-31,T4,1.01.03.02,Outras Contas a Receber,264288.0
2024-12-31,T4,1.01.03.02.01,Acordos Comerciais,223135.0
2024-12-31,T4,1.01.03.02.02,Despesas antecipadas,9729.0
2024-12-31,T4,1.01.03.02.03,Outras,31424.0
2024-12-31,T4,1.01.04,Estoques,3359412.0
2024-12-31,T4,1.01.05,Ativos Biológicos,0.0
2024-12-31,T4,1.01.06,Tributos a Recuperar,263764.0
2024-12-31,T4,1.01.06.01,Tributos Correntes a Recuperar,263764.0
2024-12-31,T4,1.01.07,Despesas Antecipadas,0.0
2024-12-31,T4,1.01.08,Outros Ativos Circulantes,0.0
2024-12-31,T4,1.01.08.01,Ativos Não-Correntes a Venda,0.0
2024-12-31,T4,1.01.08.02,Ativos de Operações Descontinuadas,0.0
2024-12-31,T4,1.01.08.03,Outros,0.0
2024-12-31,T4,1.01.08.03.01,Operações com Derivativos,0.0
2024-12-31,T4,1.02,Ativo Não Circulante,4369031.0
2024-12-31,T4,1.02.01,Ativo Realizável a Longo Prazo,1407900.0
2024-12-31,T4,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo através do Resultado,0.0
2024-12-31,T4,1.02.01.01.01,Títulos Designados a Valor Justo,0.0
2024-12-31,T4,1.02.01.02,Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes,0.0
2024-12-31,T4,1.02.01.03,Aplicações Financeiras Avaliadas ao Custo Amortizado,1986.0
2024-12-31,T4,1.02.01.04,Contas a Receber,0.0
2024-12-31,T4,1.02.01.04.01,Clientes,0.0
2024-12-31,T4,1.02.01.04.02,Outras Contas a Receber,0.0
2024-12-31,T4,1.02.01.05,Estoques,0.0
2024-12-31,T4,1.02.01.06,Ativos Biológicos,0.0
2024-12-31,T4,1.02.01.07,Tributos Diferidos,623075.0
2024-12-31,T4,1.02.01.07.01,Imposto de Renda e Contribuição Social Diferidos,623075.0
2024-12-31,T4,1.02.01.08,Despesas Antecipadas,0.0
2024-12-31,T4,1.02.01.09,Créditos com Partes Relacionadas,0.0
2024-12-31,T4,1.02.01.09.01,Créditos com Coligadas,0.0
2024-12-31,T4,1.02.01.09.03,Créditos com Controladores,0.0
2024-12-31,T4,1.02.01.09.04,Créditos com Outras Partes Relacionadas,0.0
2024-12-31,T4,1.02.01.10,Outros Ativos Não Circulantes,782839.0
2024-12-31,T4,1.02.01.10.01,Ativos Não-Correntes a Venda,0.0
2024-12-31,T4,1.02.01.10.02,Ativos de Operações Descontinuadas,0.0
2024-12-31,T4,1.02.01.10.03,Impostos e Contribuições a Recuperar,715995.0
2024-12-31,T4,1.02.01.10.04,Depósitos Judiciais,30581.0
2024-12-31,T4,1.02.01.10.05,Outros créditos,0.0
2024-12-31,T4,1.02.01.10.06,Operações com derivativos,0.0
2024-12-31,T4,1.02.01.10.07,Ativos de indenização,36263.0
2024-12-31,T4,1.02.02,Investimentos,80115.0
2024-12-31,T4,1.02.02.01,Participações Societárias,80115.0
2024-12-31,T4,1.02.02.01.01,Participações em Coligadas,0.0
2024-12-31,T4,1.02.02.01.04,Participações em Controladas em Conjunto,80115.0
2024-12-31,T4,1.02.02.01.05,Outros Investimentos,0.0
2024-12-31,T4,1.02.02.02,Propriedades para Investimento,0.0
2024-12-31,T4,1.02.03,Imobilizado,2709408.0
2024-12-31,T4,1.02.03.01,Imobilizado em Operação,857898.0
2024-12-31,T4,1.02.03.02,Direito de Uso em Arrendamento,1837358.0
2024-12-31,T4,1.02.03.03,Imobilizado em Andamento,14152.0
2024-12-31,T4,1.02.04,Intangível,171608.0
2024-12-31,T4,1.02.04.01,Intangíveis,171608.0
2024-12-31,T4,1.02.04.01.01,Contrato de Concessão,0.0
2024-12-31,T4,1.02.04.01.02,Direito de Uso em Arrendamento,0.0
2024-12-31,T4,1.02.04.01.03,Intangíveis,171608.0
2024-12-31,T4,1.02.04.02,Goodwill,0.0
2025-03-31,T1,1,Ativo Total,8668631.0
